# g-dedup-quarantine log — TSV: timestamp	event	group_id	old_path	new_path	reason
# run start 2026-04-28T23:49:21.170Z dryRun=false maxMoves=Infinity
2026-04-28T23:49:22.081Z	MOVE	65	G:\Poze\1000014621.jpg	G:\Poze\.duplicates\1000014621.jpg	-
2026-04-28T23:49:22.087Z	KEEPER_MISSING	66	G:\Poze\IMG-20230816-WA0000.jpg	G:\Poze\WhatsApp-by-year\2023\IMG-20230816-WA0000.jpg	-
2026-04-28T23:49:22.094Z	MOVE	66	G:\Poze\1000013676.jpg	G:\Poze\.duplicates\1000013676.jpg	-
2026-04-28T23:49:22.100Z	KEEPER_MISSING	67	G:\Poze\IMG-20230723-WA0000.jpg	G:\Poze\WhatsApp-by-year\2023\IMG-20230723-WA0000.jpg	-
2026-04-28T23:49:22.107Z	MOVE	67	G:\Poze\1000013209.jpg	G:\Poze\.duplicates\1000013209.jpg	-
2026-04-28T23:49:22.113Z	KEEPER_MISSING	68	G:\Poze\IMG-20230722-WA0007.jpg	G:\Poze\WhatsApp-by-year\2023\IMG-20230722-WA0007.jpg	-
2026-04-28T23:49:22.120Z	MOVE	68	G:\Poze\1000014747.jpg	G:\Poze\.duplicates\1000014747.jpg	-
2026-04-28T23:49:22.126Z	KEEPER_MISSING	69	G:\Poze\IMG-20230722-WA0006.jpg	G:\Poze\WhatsApp-by-year\2023\IMG-20230722-WA0006.jpg	-
2026-04-28T23:49:22.133Z	MOVE	69	G:\Poze\1000013929.jpg	G:\Poze\.duplicates\1000013929.jpg	-
2026-04-28T23:49:22.139Z	KEEPER_MISSING	70	G:\Poze\IMG-20230722-WA0001.jpg	G:\Poze\WhatsApp-by-year\2023\IMG-20230722-WA0001.jpg	-
2026-04-28T23:49:22.145Z	SKIP	70	G:\Poze\IMG-20230722-WA0005.jpg	-	source-missing
2026-04-28T23:49:22.152Z	MOVE	70	G:\Poze\1000013262.jpg	G:\Poze\.duplicates\1000013262.jpg	-
2026-04-28T23:49:22.159Z	MOVE	70	G:\Poze\1000013684.jpg	G:\Poze\.duplicates\1000013684.jpg	-
2026-04-28T23:49:22.165Z	KEEPER_MISSING	71	G:\Poze\IMG-20230722-WA0004.jpg	G:\Poze\WhatsApp-by-year\2023\IMG-20230722-WA0004.jpg	-
2026-04-28T23:49:22.173Z	MOVE	71	G:\Poze\1000012928.jpg	G:\Poze\.duplicates\1000012928.jpg	-
2026-04-28T23:49:22.179Z	KEEPER_MISSING	72	G:\Poze\IMG-20230722-WA0003.jpg	G:\Poze\WhatsApp-by-year\2023\IMG-20230722-WA0003.jpg	-
2026-04-28T23:49:22.186Z	MOVE	72	G:\Poze\1000013070.jpg	G:\Poze\.duplicates\1000013070.jpg	-
2026-04-28T23:49:22.192Z	KEEPER_MISSING	73	G:\Poze\IMG-20230722-WA0002.jpg	G:\Poze\WhatsApp-by-year\2023\IMG-20230722-WA0002.jpg	-
2026-04-28T23:49:22.199Z	MOVE	73	G:\Poze\1000012943.jpg	G:\Poze\.duplicates\1000012943.jpg	-
2026-04-28T23:49:22.205Z	SKIP	74	G:\Poze\IMG-20230721-WA0000.jpg	-	source-missing
2026-04-28T23:49:22.211Z	KEEPER_MISSING	75	G:\Poze\IMG-20230717-WA0001.jpg	G:\Poze\WhatsApp-by-year\2023\IMG-20230717-WA0001.jpg	-
2026-04-28T23:49:22.218Z	MOVE	75	G:\Poze\1000014195.jpg	G:\Poze\.duplicates\1000014195.jpg	-
2026-04-28T23:49:22.224Z	KEEPER_MISSING	76	G:\Poze\IMG-20230714-WA0092.jpg	G:\Poze\WhatsApp-by-year\2023\IMG-20230714-WA0092.jpg	-
2026-04-28T23:49:22.231Z	MOVE	76	G:\Poze\1000014951.jpg	G:\Poze\.duplicates\1000014951.jpg	-
2026-04-28T23:49:22.237Z	KEEPER_MISSING	77	G:\Poze\IMG-20230714-WA0089.jpg	G:\Poze\WhatsApp-by-year\2023\IMG-20230714-WA0089.jpg	-
2026-04-28T23:49:22.244Z	MOVE	77	G:\Poze\1000015040.jpg	G:\Poze\.duplicates\1000015040.jpg	-
2026-04-28T23:49:22.250Z	SKIP	78	G:\Poze\IMG-20230714-WA0088.jpg	-	source-missing
