# g-bulk-delete-quarantine log — TSV: timestamp	event	category	old_path	new_path	reason
# run start 2026-04-29T00:01:05.702Z dryRun=false maxMoves=Infinity
2026-04-29T00:01:06.524Z	SKIP	pattern:fb-photo-id	G:\Poze\1000015158_2.jpg	-	source-missing
2026-04-29T00:01:06.530Z	MOVE	pattern:fb-photo-id	G:\Poze\1000015159_2.jpg	G:\Poze\.review-for-delete\1000015159_2.jpg	-
2026-04-29T00:01:06.535Z	MOVE	pattern:fb-photo-id	G:\Poze\1000015160_2.jpg	G:\Poze\.review-for-delete\1000015160_2.jpg	-
2026-04-29T00:01:06.540Z	MOVE	pattern:fb-photo-id	G:\Poze\1000015161_2.jpg	G:\Poze\.review-for-delete\1000015161_2.jpg	-
2026-04-29T00:01:06.545Z	MOVE	pattern:fb-photo-id	G:\Poze\1000015162_2.jpg	G:\Poze\.review-for-delete\1000015162_2.jpg	-
2026-04-29T00:01:06.550Z	MOVE	pattern:fb-photo-id	G:\Poze\1000015163_2.jpg	G:\Poze\.review-for-delete\1000015163_2.jpg	-
2026-04-29T00:01:06.556Z	MOVE	pattern:fb-photo-id	G:\Poze\1000015164_2.jpg	G:\Poze\.review-for-delete\1000015164_2.jpg	-
2026-04-29T00:01:06.561Z	MOVE	pattern:fb-photo-id	G:\Poze\1000015165_2.jpg	G:\Poze\.review-for-delete\1000015165_2.jpg	-
2026-04-29T00:01:06.566Z	MOVE	pattern:fb-photo-id	G:\Poze\1000015166_2.jpg	G:\Poze\.review-for-delete\1000015166_2.jpg	-
2026-04-29T00:01:06.571Z	MOVE	pattern:fb-photo-id	G:\Poze\1000015167_2.jpg	G:\Poze\.review-for-delete\1000015167_2.jpg	-
2026-04-29T00:01:06.576Z	MOVE	pattern:fb-photo-id	G:\Poze\1000015168_2.jpg	G:\Poze\.review-for-delete\1000015168_2.jpg	-
2026-04-29T00:01:06.581Z	SKIP	pattern:fb-photo-id	G:\Poze\1000015169_2.jpg	-	source-missing
2026-04-29T00:01:06.586Z	MOVE	pattern:fb-photo-id	G:\Poze\1000015170_2.jpg	G:\Poze\.review-for-delete\1000015170_2.jpg	-
2026-04-29T00:01:06.591Z	SKIP	pattern:fb-photo-id	G:\Poze\1000015171_2.jpg	-	source-missing
2026-04-29T00:01:06.596Z	MOVE	pattern:fb-photo-id	G:\Poze\1000015172_2.jpg	G:\Poze\.review-for-delete\1000015172_2.jpg	-
