# g-master-dedup log — TSV: timestamp	event	group_id	old_path	new_path	reason
# run start 2026-04-29T08:48:04.906Z dryRun=false maxMoves=Infinity threshold=0
2026-04-29T08:49:08.210Z	MOVE	1849	G:\Poze\ic_launcher_130.png	G:\duplicates-to_be_deleted\Poze\ic_launcher_130.png	-
2026-04-29T08:49:08.212Z	MOVE	1849	G:\Poze\ic_launcher_135.png	G:\duplicates-to_be_deleted\Poze\ic_launcher_135.png	-
2026-04-29T08:49:08.213Z	MOVE	1849	G:\Poze\ic_launcher_140.png	G:\duplicates-to_be_deleted\Poze\ic_launcher_140.png	-
2026-04-29T08:49:08.214Z	MOVE	1849	G:\Poze\ic_launcher_155.png	G:\duplicates-to_be_deleted\Poze\ic_launcher_155.png	-
2026-04-29T08:49:08.215Z	MOVE	1849	G:\Poze\ic_launcher_160.png	G:\duplicates-to_be_deleted\Poze\ic_launcher_160.png	-
2026-04-29T08:49:08.216Z	MOVE	1849	G:\Poze\ic_launcher_165.png	G:\duplicates-to_be_deleted\Poze\ic_launcher_165.png	-
2026-04-29T08:49:08.218Z	MOVE	1850	G:\Poze\ic_launcher_5.png	G:\duplicates-to_be_deleted\Poze\ic_launcher_5.png	-
2026-04-29T08:49:08.219Z	MOVE	1850	G:\Poze\ic_launcher_10.png	G:\duplicates-to_be_deleted\Poze\ic_launcher_10.png	-
2026-04-29T08:49:08.220Z	MOVE	1850	G:\Poze\ic_launcher_15.png	G:\duplicates-to_be_deleted\Poze\ic_launcher_15.png	-
2026-04-29T08:49:08.221Z	MOVE	1850	G:\Poze\ic_launcher_25.png	G:\duplicates-to_be_deleted\Poze\ic_launcher_25.png	-
2026-04-29T08:49:08.222Z	MOVE	1850	G:\Poze\ic_launcher_35.png	G:\duplicates-to_be_deleted\Poze\ic_launcher_35.png	-
2026-04-29T08:49:08.223Z	MOVE	1850	G:\Poze\ic_launcher_40.png	G:\duplicates-to_be_deleted\Poze\ic_launcher_40.png	-
2026-04-29T08:49:08.224Z	MOVE	1850	G:\Poze\ic_launcher_45.png	G:\duplicates-to_be_deleted\Poze\ic_launcher_45.png	-
2026-04-29T08:49:08.225Z	MOVE	1850	G:\Poze\ic_launcher_56.png	G:\duplicates-to_be_deleted\Poze\ic_launcher_56.png	-
2026-04-29T08:49:08.226Z	MOVE	1850	G:\Poze\ic_launcher_61.png	G:\duplicates-to_be_deleted\Poze\ic_launcher_61.png	-
2026-04-29T08:49:08.227Z	MOVE	1850	G:\Poze\ic_launcher_66.png	G:\duplicates-to_be_deleted\Poze\ic_launcher_66.png	-
2026-04-29T08:49:08.228Z	MOVE	1850	G:\Poze\ic_launcher_71.png	G:\duplicates-to_be_deleted\Poze\ic_launcher_71.png	-
2026-04-29T08:49:08.229Z	MOVE	1850	G:\Poze\ic_launcher_76.png	G:\duplicates-to_be_deleted\Poze\ic_launcher_76.png	-
2026-04-29T08:49:08.230Z	MOVE	1850	G:\Poze\ic_launcher_91.png	G:\duplicates-to_be_deleted\Poze\ic_launcher_91.png	-
2026-04-29T08:49:08.231Z	MOVE	1850	G:\Poze\ic_launcher_96.png	G:\duplicates-to_be_deleted\Poze\ic_launcher_96.png	-
2026-04-29T08:49:08.232Z	MOVE	1850	G:\Poze\ic_launcher_101.png	G:\duplicates-to_be_deleted\Poze\ic_launcher_101.png	-
2026-04-29T08:49:08.233Z	MOVE	1850	G:\Poze\ic_launcher_106.png	G:\duplicates-to_be_deleted\Poze\ic_launcher_106.png	-
2026-04-29T08:49:08.234Z	MOVE	1850	G:\Poze\ic_launcher_116.png	G:\duplicates-to_be_deleted\Poze\ic_launcher_116.png	-
2026-04-29T08:49:08.235Z	MOVE	1850	G:\Poze\ic_launcher_121.png	G:\duplicates-to_be_deleted\Poze\ic_launcher_121.png	-
2026-04-29T08:49:08.236Z	MOVE	1850	G:\Poze\ic_launcher_126.png	G:\duplicates-to_be_deleted\Poze\ic_launcher_126.png	-
2026-04-29T08:49:08.237Z	MOVE	1850	G:\Poze\ic_launcher_131.png	G:\duplicates-to_be_deleted\Poze\ic_launcher_131.png	-
2026-04-29T08:49:08.238Z	MOVE	1850	G:\Poze\ic_launcher_136.png	G:\duplicates-to_be_deleted\Poze\ic_launcher_136.png	-
2026-04-29T08:49:08.239Z	MOVE	1850	G:\Poze\ic_launcher_141.png	G:\duplicates-to_be_deleted\Poze\ic_launcher_141.png	-
2026-04-29T08:49:08.240Z	MOVE	1850	G:\Poze\ic_launcher_156.png	G:\duplicates-to_be_deleted\Poze\ic_launcher_156.png	-
2026-04-29T08:49:08.241Z	MOVE	1850	G:\Poze\ic_launcher_161.png	G:\duplicates-to_be_deleted\Poze\ic_launcher_161.png	-
2026-04-29T08:49:08.242Z	MOVE	1850	G:\Poze\ic_launcher_166.png	G:\duplicates-to_be_deleted\Poze\ic_launcher_166.png	-
2026-04-29T08:49:08.275Z	MOVE	4563	G:\Video\WhatsApp_Images\WhatsApp Images\IMG-20180415-WA0017.jpg	G:\duplicates-to_be_deleted\Video\WhatsApp_Images\WhatsApp Images\IMG-20180415-WA0017.jpg	-
2026-04-29T08:49:08.277Z	MOVE	4563	G:\Video\WhatsApp_Images\WhatsApp Images\IMG-20190106-WA0008.jpg	G:\duplicates-to_be_deleted\Video\WhatsApp_Images\WhatsApp Images\IMG-20190106-WA0008.jpg	-
2026-04-29T08:49:08.278Z	MOVE	4563	G:\Video\WhatsApp_Images\WhatsApp Images\IMG-20180415-WA0011.jpg	G:\duplicates-to_be_deleted\Video\WhatsApp_Images\WhatsApp Images\IMG-20180415-WA0011.jpg	-
